author_id,text,created_at,id,edit_history_tweet_ids,processed_text
1706353058748436480,"RT @marcj2345: Jane Doe from Zenless Zone Zero 🖤🖤
• Art by BlobCG 🎨

Unleash your fantasies with @CraveuAI #CraveUAI , delivering unfiltere…",2025-01-08T13:19:06.000Z,1876981959026434435,['1876981959026434435'],rt jane doe zenless zone zero art blobcg unleash fantasies craveuai delivering unfiltere
1586116348513583104,"@sicksadgorl I consider this as proof that #AI can't be trusted to keep us safe online.  If someone's son or daughter saw this, it could start a chain reaction toward #PornAddiction.  I've seen too many peers become locked into the ""need"" to jork it to every person they see.  #facebooknews",2025-01-08T13:19:06.000Z,1876981957952774355,['1876981957952774355'],consider proof ai cant trusted keep us safe online someones son daughter saw could start chain reaction toward pornaddiction ive seen many peers become locked need jork every person see facebooknews
1085923554749833217,@MattShiller_ $SGT at @suzu_suzuverse is setting new standards for #NFT platforms driven by #AI. 🚀,2025-01-08T13:19:06.000Z,1876981957923311986,['1876981957923311986'],sgt setting new standards nft platforms driven ai
1772625154763292672,"Acabei de começar a ganhar Bytes no @despeednet - a primeira rede descentralizada do mundo para verificação de velocidade da Internet!

Configure seu validador #DeSpeed ​​hoje e comece a ganhar Bytes.

Comece sua jornada aqui: 
https://t.co/auZBBBM9ch
#Depin #Extension #Web3 #AI",2025-01-08T13:19:06.000Z,1876981957902438909,['1876981957902438909'],acabei de comear ganhar bytes primeira rede descentralizada mundo para verificao de velocidade da internet configure seu validador despeed hoje e comece ganhar bytes comece sua jornada aqui depin extension web ai
1799644279142244352,"RT @AtuaAI: Grok API empowers Atua AI’s on-chain platform with real-time intelligence, driving advanced #AI solutions and boosting #Web3 en…",2025-01-08T13:19:03.000Z,1876981947613806905,['1876981947613806905'],rt grok api empowers atua ais onchain platform realtime intelligence driving advanced ai solutions boosting web en
1738975648700338176,"RT @AtuaAI: Grok API empowers Atua AI’s on-chain platform with real-time intelligence, driving advanced #AI solutions and boosting #Web3 en…",2025-01-08T13:19:03.000Z,1876981947215266194,['1876981947215266194'],rt grok api empowers atua ais onchain platform realtime intelligence driving advanced ai solutions boosting web en
1428298902,"Acabei de começar a ganhar Bytes no @despeednet - a primeira rede descentralizada do mundo para verificação de velocidade da Internet!

Configure seu validador #DeSpeed ​​hoje e comece a ganhar Bytes.

Comece sua jornada aqui:
https://t.co/iv6R6ZBido

#Depin #Extension #Web3 #AI",2025-01-08T13:19:03.000Z,1876981946204479810,['1876981946204479810'],acabei de comear ganhar bytes primeira rede descentralizada mundo para verificao de velocidade da internet configure seu validador despeed hoje e comece ganhar bytes comece sua jornada aqui depin extension web ai
1741068140811890688,"RT @marvellafizz: My Gobgirlz Crew #waifuwednesday post, Marvella Fizzledust as a Oni, enjoy! 🌈😈💋

#ai #aiart #aigoblin #aigoblingirl #sexy…",2025-01-08T13:19:03.000Z,1876981945554321703,['1876981945554321703'],rt gobgirlz crew waifuwednesday post marvella fizzledust oni enjoy ai aiart aigoblin aigoblingirl sexy
4654717877,"RT @iot_automotive: Spotlight News: Stay updated on the latest developments in AI, autonomous vehicles, connected cars, C-V2X, electric veh…",2025-01-08T13:19:03.000Z,1876981945197842723,['1876981945197842723'],rt spotlight news stay updated latest developments ai autonomous vehicles connected cars cvx electric veh
1508172939425951746,"RT @AtuaAI: Grok API empowers Atua AI’s on-chain platform with real-time intelligence, driving advanced #AI solutions and boosting #Web3 en…",2025-01-08T13:19:02.000Z,1876981944229019749,['1876981944229019749'],rt grok api empowers atua ais onchain platform realtime intelligence driving advanced ai solutions boosting web en
